minute,charge_flag_bf,discharge_flag_bf
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,50,0
193,50,0
194,50,0
195,50,0
196,50,0
197,50,0
198,50,0
199,50,0
200,50,0
201,50,0
202,50,0
203,50,0
204,50,0
205,50,0
206,50,0
207,50,0
208,50,0
209,50,0
210,0,0
211,0,50
212,0,50
213,0,50
214,0,50
215,0,50
216,0,50
217,0,50
218,0,50
219,0,50
220,0,50
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,50,0
380,50,0
381,50,0
382,50,0
383,50,0
384,50,0
385,50,0
386,50,0
387,0,0
388,0,50
389,0,50
390,0,50
391,0,50
392,50,0
393,50,0
394,50,0
395,50,0
396,50,0
397,50,0
398,50,0
399,50,0
400,50,0
401,50,0
402,50,0
403,50,0
404,50,0
405,50,0
406,50,0
407,50,0
408,50,0
409,50,0
410,50,0
411,50,0
412,0,50
413,0,50
414,0,50
415,0,50
416,0,50
417,0,50
418,0,50
419,50,0
420,50,0
421,50,0
422,50,0
423,50,0
424,50,0
425,50,0
426,50,0
427,50,0
428,50,0
429,50,0
430,50,0
431,50,0
432,50,0
433,50,0
434,50,0
435,50,0
436,50,0
437,50,0
438,50,0
439,50,0
440,50,0
441,50,0
442,50,0
443,50,0
444,50,0
445,50,0
446,50,0
447,50,0
448,50,0
449,50,0
450,50,0
451,50,0
452,50,0
453,50,0
454,50,0
455,50,0
456,50,0
457,50,0
458,50,0
459,50,0
460,50,0
461,50,0
462,50,0
463,50,0
464,50,0
465,50,0
466,50,0
467,50,0
468,50,0
469,50,0
470,50,0
471,50,0
472,50,0
473,50,0
474,50,0
475,50,0
476,50,0
477,50,0
478,50,0
479,50,0
480,50,0
481,50,0
482,50,0
483,50,0
484,50,0
485,50,0
486,50,0
487,50,0
488,50,0
489,50,0
490,50,0
491,50,0
492,50,0
493,50,0
494,50,0
495,50,0
496,50,0
497,50,0
498,50,0
499,50,0
500,50,0
501,50,0
502,50,0
503,50,0
504,50,0
505,50,0
506,50,0
507,50,0
508,50,0
509,50,0
510,50,0
511,50,0
512,50,0
513,50,0
514,50,0
515,50,0
516,50,0
517,50,0
518,50,0
519,50,0
520,50,0
521,50,0
522,50,0
523,50,0
524,50,0
525,50,0
526,50,0
527,50,0
528,50,0
529,50,0
530,50,0
531,50,0
532,50,0
533,50,0
534,50,0
535,50,0
536,50,0
537,50,0
538,50,0
539,50,0
540,50,0
541,50,0
542,50,0
543,50,0
544,50,0
545,50,0
546,50,0
547,50,0
548,50,0
549,50,0
550,50,0
551,50,0
552,50,0
553,50,0
554,50,0
555,50,0
556,50,0
557,50,0
558,50,0
559,50,0
560,50,0
561,50,0
562,50,0
563,50,0
564,50,0
565,50,0
566,50,0
567,50,0
568,50,0
